Date,Mining_Bench,Excavator_ID,Destination,Specification,Asset Name,Production,No of Trips,Production_Per_Trip
2025-08-11,Mining Bench 1,EX-189,Coal Stock,Coal,BB-78,19,1,19
2025-08-16,Mining Bench 2,EX-139,Coal Stock,Coal,BB-52,152,8,19
2025-08-26,Mining Bench 4,EX-145,Coal Stock,Coal,BB-44,19,1,19
2025-08-27,Mining Bench 4,EX-145,Coal Stock,Coal,BB-45,19,1,19
2025-08-27,Mining Bench 4,EX-145,Coal Stock,Coal,BB-53,133,7,19
2025-08-27,Mining Bench 4,EX-145,Coal Stock,Coal,BB-78,19,1,19
2025-08-27,Mining Bench 4,EX-145,Coal Stock,Coal,BB-42,19,1,19
2025-08-27,Mining Bench 4,EX-145,Coal Stock,Coal,BB-43,19,1,19
2025-08-27,Mining Bench 4,EX-145,Coal Stock,Coal,BB-44,19,1,19
2025-08-27,Mining Bench 2,EX-139,Coal Stock,Coal,BB-78,19,1,19
2025-08-27,Mining Bench 3,EX-141,Coal Stock,Coal,BB-78,19,1,19
2025-08-27,Mining Bench 3,EX-141,Coal Stock,Coal,BB-53,57,3,19
2025-08-28,Mining Bench 4,EX-145,Coal Stock,Coal,BB-78,114,6,19
2025-08-28,Mining Bench 4,EX-145,Coal Stock,Coal,BB-53,133,7,19
2025-08-28,Mining Bench 3,EX-141,Coal Stock,Coal,BB-78,19,1,19
2025-08-28,Mining Bench 3,EX-141,Coal Stock,Coal,BB-53,19,1,19
2025-08-28,Mining Bench 2,EX-139,Coal Stock,Coal,BB-53,114,6,19
2025-08-28,Mining Bench 2,EX-139,Coal Stock,Coal,BB-78,247,13,19
2025-08-29,Mining Bench 2,EX-139,Coal Stock,Coal,BB-43,57,3,19
2025-08-29,Mining Bench 2,EX-139,Coal Stock,Coal,BB-45,19,1,19
2025-08-29,Mining Bench 4,EX-145,Coal Stock,Coal,BB-57,19,1,19
2025-08-29,Mining Bench 4,EX-145,Coal Stock,Coal,BB-62,19,1,19
2025-08-29,Mining Bench 4,EX-145,Coal Stock,Coal,BB-45,19,1,19
2025-08-29,Mining Bench 4,EX-145,Coal Stock,Coal,BB-42,19,1,19
2025-08-30,Mining Bench 2,EX-139,Coal Stock,Coal,BB-78,228,12,19
2025-08-30,Mining Bench 2,EX-139,Coal Stock,Coal,BB-53,190,10,19
2025-08-31,Mining Bench 2,EX-139,Coal Stock,Coal,BB-78,57,3,19
2025-08-31,Mining Bench 2,EX-139,Coal Stock,Coal,BB-53,19,1,19
2025-09-11,Mining Bench 2,EX-139,Coal Stock,Coal,BB-45,38,2,19
2025-09-11,Mining Bench 2,EX-139,Coal Stock,Coal,BB-56,19,1,19
2025-09-11,Mining Bench 1,EX-189,Coal Stock,Coal,BB-78,19,1,19
2025-09-20,Mining Bench 2,EX-139,Coal Stock,Coal,BB-78,266,14,19
2025-09-21,Mining Bench 4,EX-145,Coal Stock,Coal,BB-78,19,1,19
2025-09-21,Mining Bench 3,EX-141,Coal Stock,Coal,BB-53,19,1,19
2025-09-23,Mining Bench 3,EX-141,Coal Stock,Coal,BB-52,76,4,19
2025-09-24,Mining Bench 2,EX-139,Coal Stock,Coal,BB-52,209,11,19
2025-09-25,Mining Bench 3,EX-141,Coal Stock,Coal,BB-52,361,19,19
2025-09-26,Mining Bench 3,EX-141,Coal Stock,Coal,BB-52,285,15,19
2025-09-27,Mining Bench 3,EX-141,Coal Stock,Coal,BB-52,190,10,19
2025-09-29,Mining Bench 3,EX-141,Coal Stock,Coal,BB-78,285,15,19
2025-09-30,Mining Bench 3,EX-141,Coal Stock,Coal,BB-78,589,31,19
